hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IL,SALINE,62930
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NH,GRAFTON,3766
1,Not Available,Above the national average,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,NE,LANCASTER,68506
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,MN,TODD,56479
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,MA,HAMPDEN,1104
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,MN,STEARNS,56362
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,MI,CLARE,48617
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MN,HENNEPIN,55369
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,HURON,44857
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Church,Acute Care Hospitals,TN,RUTHERFORD,37129
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,PA,CLINTON,17745
1,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Proprietary,Acute Care Hospitals,SC,RICHLAND,29204
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NC,DAVIDSON,27293
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,VT,WINDSOR,5089
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,VT,FRANKLIN,5478
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,WA,PIERCE,98332
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,VA,MARTINSVILLE CITY,24112
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,AZ,MARICOPA,85202
1,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,ORANGE,92870
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,FL,WASHINGTON,32428
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,LAKE,34748
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,GA,RANDOLPH,39840
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,PEORIA,61614
1,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Proprietary,Acute Care Hospitals,GA,COWETA,30265
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MT,MCCONE,59215
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Critical Access Hospitals,MI,IRON,49935
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Acute Care Hospitals,MS,JASPER,39422
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TN,DAVIDSON,37236
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,BLAIR,16601
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Physician,Acute Care Hospitals,TN,COFFEE,37355
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Proprietary,Acute Care Hospitals,SC,YORK,29730
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,OK,BLAINE,73772
